true_journal,test_samples,top_1_accuracy,top_5_hit_rate,median_true_rank
JOURNAL OF FUNCTIONAL PROGRAMMING,14,0.7857,0.9286,1.0
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,14,0.7143,0.9286,1.0
SPEECH COMMUNICATION,14,0.7857,0.9286,1.0
COMPUTERS & OPERATIONS RESEARCH,13,0.3077,0.9231,2.0
COMPUTATIONAL LINGUISTICS,12,0.5833,0.9167,1.0
COMPUTER ANIMATION AND VIRTUAL WORLDS,12,0.9167,0.9167,1.0
COMPUTERS AND ELECTRONICS IN AGRICULTURE,12,0.75,0.9167,1.0
EMPIRICAL SOFTWARE ENGINEERING,12,0.5,0.9167,1.5
EVOLUTIONARY BIOINFORMATICS,11,0.6364,0.9091,1.0
LANGUAGE RESOURCES AND EVALUATION,11,0.6364,0.9091,1.0
REQUIREMENTS ENGINEERING,11,0.8182,0.9091,1.0
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,10,0.2,0.9,3.0
BRIEFINGS IN BIOINFORMATICS,10,0.6,0.9,1.0
INTERNATIONAL JOURNAL ON DOCUMENT ANALYSIS AND RECOGNITION,10,0.7,0.9,1.0
JOURNAL OF CELLULAR AUTOMATA,10,0.9,0.9,1.0
JOURNAL OF WEB SEMANTICS,10,0.7,0.9,1.0
ENTERPRISE INFORMATION SYSTEMS,9,0.6667,0.8889,1.0
ICGA JOURNAL,9,0.8889,0.8889,1.0
INFORMATION VISUALIZATION,9,0.7778,0.8889,1.0
INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT,9,0.4444,0.8889,3.0
APPLIED ONTOLOGY,8,0.625,0.875,1.0
COMPUTER SUPPORTED COOPERATIVE WORK-THE JOURNAL OF COLLABORATIVE COMPUTING,8,0.5,0.875,1.5
CRYPTOGRAPHY AND COMMUNICATIONS-DISCRETE-STRUCTURES BOOLEAN FUNCTIONS AND SEQUENCES,8,0.125,0.875,2.5
GENETIC PROGRAMMING AND EVOLVABLE MACHINES,8,0.5,0.875,1.5
INTERNATIONAL JOURNAL OF BIO-INSPIRED COMPUTATION,8,0.625,0.875,1.0
JOURNAL OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY,8,0.5,0.875,2.0
JOURNAL OF GRID COMPUTING,8,0.5,0.875,1.5
UNIVERSAL ACCESS IN THE INFORMATION SOCIETY,8,0.75,0.875,1.0
ADVANCES IN ENGINEERING SOFTWARE,15,0.0667,0.8667,2.0
EVOLUTIONARY COMPUTATION,15,0.6,0.8667,1.0
IEEE TRANSACTIONS ON COMMUNICATIONS,15,0.2667,0.8667,2.0
IEEE TRANSACTIONS ON INFORMATION THEORY,15,0.6,0.8667,1.0
JOURNAL OF LOGIC AND COMPUTATION,15,0.6667,0.8667,1.0
JOURNAL OF MATHEMATICAL IMAGING AND VISION,15,0.5333,0.8667,1.0
OPTIMIZATION METHODS & SOFTWARE,15,0.5333,0.8667,1.0
REAL-TIME SYSTEMS,15,0.7333,0.8667,1.0
SCIENCE OF COMPUTER PROGRAMMING,15,0.4,0.8667,2.0
SOFTWARE TESTING VERIFICATION & RELIABILITY,15,0.8667,0.8667,1.0
COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,14,0.7857,0.8571,1.0
COMPUTER-AIDED DESIGN,14,0.5714,0.8571,1.0
COMPUTERS & SECURITY,14,0.4286,0.8571,2.0
COMPUTERS & STRUCTURES,14,0.4286,0.8571,2.0
IEEE MICRO,14,0.5714,0.8571,1.0
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,14,0.1429,0.8571,2.0
INTERACTING WITH COMPUTERS,14,0.5,0.8571,1.5
JOURNAL OF COMMUNICATIONS TECHNOLOGY AND ELECTRONICS,14,0.7857,0.8571,1.0
THEORY AND PRACTICE OF LOGIC PROGRAMMING,14,0.7857,0.8571,1.0
ACM TRANSACTIONS ON STORAGE,7,0.8571,0.8571,1.0
IEEE TRANSACTIONS ON AFFECTIVE COMPUTING,7,0.4286,0.8571,2.0
CONSTRAINTS,13,0.6923,0.8462,1.0
IEEE WIRELESS COMMUNICATIONS,13,0.4615,0.8462,2.0
JOURNAL OF VISUALIZATION,13,0.6923,0.8462,1.0
MEDICAL IMAGE ANALYSIS,13,0.6154,0.8462,1.0
RAIRO-THEORETICAL INFORMATICS AND APPLICATIONS,13,0.5385,0.8462,1.0
SEMANTIC WEB,6,0.0,0.8333,2.0
INTERNATIONAL JOURNAL OF WAVELETS MULTIRESOLUTION AND INFORMATION PROCESSING,11,0.5455,0.8182,1.0
COMPUTERS & GEOSCIENCES,15,0.5333,0.8,1.0
IEEE COMMUNICATIONS LETTERS,15,0.3333,0.8,2.0
INFORMATION SYSTEMS MANAGEMENT,15,0.4667,0.8,2.0
INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,15,0.6,0.8,1.0
INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,15,0.1333,0.8,3.0
MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS,15,0.6,0.8,1.0
MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING,15,0.8,0.8,1.0
ONLINE INFORMATION REVIEW,15,0.5333,0.8,1.0
STATISTICS AND COMPUTING,15,0.7333,0.8,1.0
DIGITAL INVESTIGATION,10,0.8,0.8,1.0
SOFTWARE AND SYSTEMS MODELING,10,0.3,0.8,4.0
FOUNDATIONS AND TRENDS IN INFORMATION RETRIEVAL,5,0.6,0.8,1.0
ARTIFICIAL INTELLIGENCE,14,0.0714,0.7857,2.0
ARTIFICIAL LIFE,14,0.4286,0.7857,2.0
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,14,0.6429,0.7857,1.0
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,14,0.4286,0.7857,2.0
PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,14,0.5,0.7857,1.5
ACM TRANSACTIONS ON APPLIED PERCEPTION,9,0.2222,0.7778,3.0
COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,9,0.6667,0.7778,1.0
IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES,9,0.3333,0.7778,3.0
IET INFORMATION SECURITY,9,0.3333,0.7778,3.0
ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,13,0.5385,0.7692,1.0
COMPUTER LANGUAGES SYSTEMS & STRUCTURES,13,0.3846,0.7692,2.0
HUMAN-COMPUTER INTERACTION,13,0.5385,0.7692,1.0
WIRELESS COMMUNICATIONS & MOBILE COMPUTING,13,0.4615,0.7692,2.0
INTERNATIONAL JOURNAL OF DATA WAREHOUSING AND MINING,8,0.125,0.75,2.5
JOURNAL OF BIOMEDICAL INFORMATICS,8,0.375,0.75,2.0
PEER-TO-PEER NETWORKING AND APPLICATIONS,8,0.375,0.75,3.0
ACM TRANSACTIONS ON COMPUTER SYSTEMS,15,0.4,0.7333,2.0
CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,15,0.5333,0.7333,1.0
COMPUTER AIDED GEOMETRIC DESIGN,15,0.6667,0.7333,1.0
IEEE TRANSACTIONS ON BROADCASTING,15,0.6667,0.7333,1.0
INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,15,0.5333,0.7333,1.0
INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,15,0.2667,0.7333,2.0
JOURNAL OF AUTOMATED REASONING,15,0.6,0.7333,1.0
JOURNAL OF CRYPTOLOGY,15,0.2,0.7333,2.0
JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,15,0.3333,0.7333,2.0
NEURAL PROCESSING LETTERS,15,0.3333,0.7333,2.0
ACM TRANSACTIONS ON SENSOR NETWORKS,11,0.3636,0.7273,2.0
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,14,0.5714,0.7143,1.0
COMPUTERS & GRAPHICS-UK,14,0.0714,0.7143,4.0
COMPUTERS & INDUSTRIAL ENGINEERING,14,0.2857,0.7143,2.5
INFORMS JOURNAL ON COMPUTING,14,0.2857,0.7143,3.5
SWARM INTELLIGENCE,7,0.4286,0.7143,2.0
VIRTUAL REALITY,7,0.1429,0.7143,3.0
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,10,0.7,0.7,1.0
ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,10,0.4,0.7,3.5
IET COMPUTERS AND DIGITAL TECHNIQUES,10,0.1,0.7,4.0
COMPUTER VISION AND IMAGE UNDERSTANDING,13,0.3077,0.6923,3.0
SIMULATION MODELLING PRACTICE AND THEORY,13,0.2308,0.6923,3.0
ACM TRANSACTIONS ON DATABASE SYSTEMS,15,0.3333,0.6667,2.0
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,15,0.1333,0.6667,2.0
ACTA INFORMATICA,15,0.1333,0.6667,4.0
AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,15,0.6,0.6667,1.0
FORMAL METHODS IN SYSTEM DESIGN,15,0.5333,0.6667,1.0
INFORMATION AND COMPUTATION,15,0.3333,0.6667,3.0
JOURNAL OF COMPUTER INFORMATION SYSTEMS,15,0.1333,0.6667,2.0
JOURNAL OF HEURISTICS,15,0.6,0.6667,1.0
MICROPROCESSORS AND MICROSYSTEMS,15,0.1333,0.6667,3.0
PROGRAMMING AND COMPUTER SOFTWARE,15,0.4,0.6667,2.0
SIAM JOURNAL ON COMPUTING,15,0.2667,0.6667,3.0
THEORY OF COMPUTING SYSTEMS,15,0.2,0.6667,4.0
USER MODELING AND USER-ADAPTED INTERACTION,15,0.4,0.6667,2.0
FORMAL ASPECTS OF COMPUTING,12,0.25,0.6667,4.0
IBM JOURNAL OF RESEARCH AND DEVELOPMENT,12,0.3333,0.6667,2.0
IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,12,0.1667,0.6667,4.0
INFORMATION AND SOFTWARE TECHNOLOGY,12,0.3333,0.6667,3.5
ACM TRANSACTIONS ON ALGORITHMS,9,0.2222,0.6667,3.0
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,9,0.1111,0.6667,3.0
IET COMPUTER VISION,9,0.2222,0.6667,4.0
INFORMATION FUSION,9,0.4444,0.6667,2.0
INTERNATIONAL JOURNAL OF UNCONVENTIONAL COMPUTING,9,0.4444,0.6667,2.0
JOURNAL ON MULTIMODAL USER INTERFACES,9,0.2222,0.6667,3.0
SWARM AND EVOLUTIONARY COMPUTATION,6,0.5,0.6667,3.0
TRANSACTIONS ON EMERGING TELECOMMUNICATIONS TECHNOLOGIES,6,0.1667,0.6667,4.0
COMPUTER GRAPHICS FORUM,14,0.1429,0.6429,3.5
COMPUTERS IN BIOLOGY AND MEDICINE,14,0.3571,0.6429,2.5
INTEGRATION-THE VLSI JOURNAL,14,0.5714,0.6429,1.0
JOURNAL OF MACHINE LEARNING RESEARCH,14,0.2857,0.6429,3.0
JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE,14,0.2857,0.6429,4.5
PERSONAL AND UBIQUITOUS COMPUTING,14,0.4286,0.6429,2.0
COGNITIVE SYSTEMS RESEARCH,11,0.4545,0.6364,2.0
COMPUTATIONAL BIOLOGY AND CHEMISTRY,11,0.1818,0.6364,4.0
INTERNATIONAL JOURNAL OF NEURAL SYSTEMS,11,0.4545,0.6364,2.0
PROBLEMS OF INFORMATION TRANSMISSION,11,0.4545,0.6364,2.0
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,8,0.25,0.625,2.0
SECURITY AND COMMUNICATION NETWORKS,8,0.25,0.625,3.0
COMPUTERS IN INDUSTRY,13,0.3077,0.6154,2.0
GRAPHICAL MODELS,15,0.2667,0.6,3.0
IEEE NETWORK,15,0.1333,0.6,4.0
INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING,15,0.4,0.6,3.0
INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,15,0.2,0.6,4.0
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,15,0.1333,0.6,4.0
PARALLEL COMPUTING,15,0.4,0.6,3.0
INTERNATIONAL JOURNAL OF DATA MINING AND BIOINFORMATICS,10,0.2,0.6,3.0
INTERNATIONAL JOURNAL OF WEB SERVICES RESEARCH,10,0.3,0.6,5.0
JOURNAL OF REAL-TIME IMAGE PROCESSING,10,0.3,0.6,3.5
JOURNAL OF WEB ENGINEERING,10,0.4,0.6,2.0
MATHEMATICAL MODELLING OF NATURAL PHENOMENA,10,0.6,0.6,1.0
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,5,0.6,0.6,1.0
BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES,5,0.2,0.6,5.0
COMPUTER MUSIC JOURNAL,5,0.0,0.6,3.0
IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,5,0.2,0.6,5.0
IEEE TRANSACTIONS ON CYBERNETICS,5,0.4,0.6,3.0
IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,5,0.0,0.6,5.0
JOURNAL OF LOGIC LANGUAGE AND INFORMATION,5,0.0,0.6,3.0
JOURNAL OF THE INSTITUTE OF TELECOMMUNICATIONS PROFESSIONALS,5,0.4,0.6,2.0
COMPUTER COMMUNICATIONS,12,0.0,0.5833,5.0
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,12,0.4167,0.5833,3.5
DECISION SUPPORT SYSTEMS,14,0.3571,0.5714,3.5
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,14,0.0714,0.5714,5.0
NEURAL COMPUTATION,14,0.2857,0.5714,4.0
NEURAL NETWORKS,14,0.3571,0.5714,3.5
CRYPTOLOGIA,9,0.4444,0.5556,2.0
JOURNAL OF THE ASSOCIATION FOR INFORMATION SYSTEMS,9,0.1111,0.5556,5.0
SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,13,0.4615,0.5385,2.0
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,15,0.1333,0.5333,5.0
ACM TRANSACTIONS ON INFORMATION SYSTEMS,15,0.2667,0.5333,4.0
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,15,0.0667,0.5333,5.0
COMPUTING,15,0.4,0.5333,3.0
ENGINEERING WITH COMPUTERS,15,0.4,0.5333,5.0
IEEE COMMUNICATIONS MAGAZINE,15,0.2667,0.5333,4.0
IEEE TRANSACTIONS ON MULTIMEDIA,15,0.0,0.5333,4.0
IEICE TRANSACTIONS ON COMMUNICATIONS,15,0.1333,0.5333,4.0
INFORMATION PROCESSING LETTERS,15,0.2,0.5333,4.0
INTERNATIONAL JOURNAL OF COOPERATIVE INFORMATION SYSTEMS,15,0.2667,0.5333,4.0
JOURNAL OF SYSTEMS ARCHITECTURE,15,0.2,0.5333,4.0
NEUROCOMPUTING,15,0.1333,0.5333,5.0
VISUAL COMPUTER,15,0.0667,0.5333,5.0
VLDB JOURNAL,15,0.0667,0.5333,5.0
EXPERT SYSTEMS,14,0.3571,0.5,5.0
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,14,0.2143,0.5,4.5
JOURNAL OF SYSTEMS AND SOFTWARE,14,0.2143,0.5,5.5
SOFT COMPUTING,14,0.0714,0.5,6.5
INFORMATION RETRIEVAL,12,0.3333,0.5,9.0
JOURNAL OF INFORMATION TECHNOLOGY,12,0.3333,0.5,5.5
MATHEMATICAL STRUCTURES IN COMPUTER SCIENCE,12,0.3333,0.5,4.5
ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,10,0.3,0.5,22.0
COMPUTER NETWORKS,10,0.1,0.5,5.0
IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY,10,0.2,0.5,5.5
INTERNATIONAL JOURNAL OF SENSOR NETWORKS,8,0.25,0.5,5.0
NEW REVIEW OF HYPERMEDIA AND MULTIMEDIA,8,0.125,0.5,19.0
IEEE TRANSACTIONS ON NETWORK AND SERVICE MANAGEMENT,6,0.3333,0.5,13.5
SUSTAINABLE COMPUTING-INFORMATICS & SYSTEMS,6,0.1667,0.5,8.5
CONNECTION SCIENCE,15,0.2667,0.4667,6.0
DATA MINING AND KNOWLEDGE DISCOVERY,15,0.2,0.4667,6.0
DISTRIBUTED AND PARALLEL DATABASES,15,0.1333,0.4667,7.0
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,15,0.1333,0.4667,8.0
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,15,0.1333,0.4667,10.0
JOURNAL OF THE ACM,15,0.2,0.4667,9.0
MOBILE NETWORKS & APPLICATIONS,15,0.1333,0.4667,9.0
IEEE TRANSACTIONS ON MOBILE COMPUTING,13,0.2308,0.4615,7.0
INFORMATION SYSTEMS FRONTIERS,13,0.3077,0.4615,6.0
CMC-COMPUTERS MATERIALS & CONTINUA,11,0.0909,0.4545,10.0
IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,11,0.1818,0.4545,8.0
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,11,0.2727,0.4545,13.0
JOURNAL OF DATABASE MANAGEMENT,11,0.1818,0.4545,7.0
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,11,0.2727,0.4545,7.0
NEURAL NETWORK WORLD,11,0.0,0.4545,14.0
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,9,0.1111,0.4444,7.0
AD HOC NETWORKS,9,0.0,0.4444,8.0
MALAYSIAN JOURNAL OF COMPUTER SCIENCE,9,0.1111,0.4444,11.0
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,14,0.0714,0.4286,9.0
INFORMATION SYSTEMS,14,0.2143,0.4286,7.0
SIGMOD RECORD,14,0.1429,0.4286,9.0
SOFTWARE QUALITY JOURNAL,14,0.1429,0.4286,6.5
CURRENT BIOINFORMATICS,7,0.2857,0.4286,16.0
PERVASIVE AND MOBILE COMPUTING,7,0.1429,0.4286,6.0
INTERNATIONAL JOURNAL OF FOUNDATIONS OF COMPUTER SCIENCE,12,0.0833,0.4167,11.5
COMPUTERS & ELECTRICAL ENGINEERING,15,0.0,0.4,6.0
JOURNAL OF VISUAL LANGUAGES AND COMPUTING,15,0.2667,0.4,7.0
KNOWLEDGE-BASED SYSTEMS,15,0.0667,0.4,8.0
THEORETICAL COMPUTER SCIENCE,15,0.2667,0.4,6.0
ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,10,0.1,0.4,8.0
BUSINESS & INFORMATION SYSTEMS ENGINEERING,5,0.0,0.4,8.0
PHYSICAL COMMUNICATION,5,0.0,0.4,7.0
IEEE COMPUTER ARCHITECTURE LETTERS,8,0.125,0.375,14.5
IEEE INTERNET COMPUTING,8,0.125,0.375,8.5
IEEE TRANSACTIONS ON SERVICES COMPUTING,8,0.25,0.375,6.5
IET SOFTWARE,8,0.125,0.375,12.5
JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS,8,0.0,0.375,7.5
APPLIED SOFT COMPUTING,11,0.0909,0.3636,7.0
CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,11,0.0909,0.3636,22.0
DATA & KNOWLEDGE ENGINEERING,14,0.0,0.3571,10.0
ETRI JOURNAL,14,0.1429,0.3571,8.0
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,14,0.0,0.3571,10.0
INFORMATION SCIENCES,15,0.2,0.3333,11.0
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,15,0.0,0.3333,10.0
JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,15,0.3333,0.3333,19.0
ACM COMPUTING SURVEYS,9,0.0,0.3333,13.0
ACM TRANSACTIONS ON INTERNET TECHNOLOGY,9,0.0,0.3333,11.0
INTERNATIONAL JOURNAL OF WEB AND GRID SERVICES,9,0.2222,0.3333,46.0
JOURNAL OF INTERNET TECHNOLOGY,9,0.1111,0.3333,8.0
ROMANIAN JOURNAL OF INFORMATION SCIENCE AND TECHNOLOGY,9,0.0,0.3333,8.0
SCIENTIFIC PROGRAMMING,9,0.0,0.3333,10.0
IEEE WIRELESS COMMUNICATIONS LETTERS,6,0.1667,0.3333,16.5
MEMETIC COMPUTING,6,0.3333,0.3333,24.5
INFORMATICA,13,0.2308,0.3077,19.0
INTERNATIONAL JOURNAL OF INFORMATION SECURITY,10,0.1,0.3,13.0
FUNDAMENTA INFORMATICAE,14,0.1429,0.2857,8.5
MULTIMEDIA SYSTEMS,14,0.0714,0.2857,13.0
INTERNATIONAL JOURNAL OF MACHINE LEARNING AND CYBERNETICS,7,0.0,0.2857,9.0
NATURAL COMPUTING,7,0.1429,0.2857,14.0
INTELLIGENT DATA ANALYSIS,11,0.0909,0.2727,27.0
COMPUTER STANDARDS & INTERFACES,15,0.2,0.2667,28.0
IEEE TRANSACTIONS ON COMPUTERS,15,0.0,0.2667,13.0
JOURNAL OF COMPUTER AND SYSTEM SCIENCES,15,0.0667,0.2667,13.0
MULTIMEDIA TOOLS AND APPLICATIONS,15,0.2,0.2667,9.0
WIRELESS NETWORKS,15,0.1333,0.2667,14.0
IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,12,0.1667,0.25,38.5
FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE,8,0.0,0.25,19.5
IEEE MULTIMEDIA,8,0.125,0.25,17.5
ACM TRANSACTIONS ON THE WEB,9,0.2222,0.2222,13.0
AD HOC & SENSOR WIRELESS NETWORKS,9,0.1111,0.2222,6.0
IEEE SYSTEMS JOURNAL,9,0.0,0.2222,16.0
INTERNATIONAL JOURNAL OF AD HOC AND UBIQUITOUS COMPUTING,9,0.0,0.2222,10.0
INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS,9,0.0,0.2222,41.0
JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,14,0.0,0.2143,43.0
JOURNAL OF UNIVERSAL COMPUTER SCIENCE,14,0.0714,0.2143,31.5
WIRELESS PERSONAL COMMUNICATIONS,14,0.1429,0.2143,23.0
COMPUTER SYSTEMS SCIENCE AND ENGINEERING,15,0.0667,0.2,64.0
IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,15,0.0667,0.2,7.0
IEEE-ACM TRANSACTIONS ON NETWORKING,15,0.0,0.2,11.0
TELECOMMUNICATION SYSTEMS,15,0.0667,0.2,20.0
ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,10,0.0,0.2,9.0
AUTOMATED SOFTWARE ENGINEERING,10,0.0,0.2,14.0
INTERNATIONAL JOURNAL OF COMPUTERS COMMUNICATIONS & CONTROL,10,0.1,0.2,31.5
INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS,10,0.1,0.2,58.5
IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTING,5,0.0,0.2,15.0
JOURNAL OF SOFTWARE-EVOLUTION AND PROCESS,5,0.2,0.2,11.0
SCIENCE CHINA-INFORMATION SCIENCES,5,0.0,0.2,111.0
COMPUTER,11,0.0,0.1818,24.0
COMPUTING IN SCIENCE & ENGINEERING,11,0.0909,0.1818,10.0
KNOWLEDGE AND INFORMATION SYSTEMS,11,0.0,0.1818,31.0
LOGICAL METHODS IN COMPUTER SCIENCE,11,0.0909,0.1818,24.0
MOBILE INFORMATION SYSTEMS,11,0.1818,0.1818,52.0
IEEE COMPUTATIONAL INTELLIGENCE MAGAZINE,6,0.0,0.1667,45.0
IEEE SOFTWARE,6,0.0,0.1667,33.0
COMPUTING AND INFORMATICS,14,0.0,0.1429,83.5
JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING,7,0.0,0.1429,67.0
JOURNAL OF COMPUTATIONAL SCIENCE,7,0.0,0.1429,9.0
