journal,article_count
INTEGRATED COMPUTER-AIDED ENGINEERING,73
INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,73
INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,73
JOURNAL OF SYSTEMS ARCHITECTURE,73
MULTIMEDIA TOOLS AND APPLICATIONS,73
NETWORKS,73
NEUROCOMPUTING,73
PROGRAMMING AND COMPUTER SOFTWARE,73
REAL-TIME SYSTEMS,73
SOFTWARE TESTING VERIFICATION & RELIABILITY,73
SOFTWARE-PRACTICE & EXPERIENCE,73
USER MODELING AND USER-ADAPTED INTERACTION,73
VISUAL COMPUTER,73
VLDB JOURNAL,73
ARTIFICIAL INTELLIGENCE,72
BMC BIOINFORMATICS,72
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,72
COMPUTER STANDARDS & INTERFACES,72
COMPUTERS & FLUIDS,72
COMPUTERS & GRAPHICS-UK,72
COMPUTERS IN BIOLOGY AND MEDICINE,72
DECISION SUPPORT SYSTEMS,72
ENGINEERING WITH COMPUTERS,72
ETRI JOURNAL,72
IEEE MICRO,72
INFORMATION SYSTEMS,72
JOURNAL OF SYSTEMS AND SOFTWARE,72
NEW GENERATION COMPUTING,72
WIRELESS PERSONAL COMMUNICATIONS,72
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,71
COMPUTER-AIDED DESIGN,71
DATA & KNOWLEDGE ENGINEERING,71
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,71
EXPERT SYSTEMS,71
FUNDAMENTA INFORMATICAE,71
INFORMS JOURNAL ON COMPUTING,71
JOURNAL OF MACHINE LEARNING RESEARCH,71
NEURAL COMPUTATION,71
COMPUTERS & INDUSTRIAL ENGINEERING,70
COMPUTERS & SECURITY,70
COMPUTERS & STRUCTURES,70
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,70
INTEGRATION-THE VLSI JOURNAL,70
INTERACTING WITH COMPUTERS,70
JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,70
JOURNAL OF FUNCTIONAL PROGRAMMING,70
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,70
MINDS AND MACHINES,70
MULTIMEDIA SYSTEMS,70
ARTIFICIAL LIFE,69
COMPUTER GRAPHICS FORUM,69
COMPUTING AND INFORMATICS,69
CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,69
DISPLAYS,69
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,69
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,69
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,69
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,69
JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE,69
JOURNAL OF UNIVERSAL COMPUTER SCIENCE,69
NEURAL NETWORKS,69
PERSONAL AND UBIQUITOUS COMPUTING,69
SOFTWARE QUALITY JOURNAL,69
SPEECH COMMUNICATION,69
THEORY AND PRACTICE OF LOGIC PROGRAMMING,69
COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,68
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,68
JOURNAL OF COMMUNICATIONS TECHNOLOGY AND ELECTRONICS,68
PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,68
SIGMOD RECORD,68
SOFT COMPUTING,68
ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,67
COMPUTER LANGUAGES SYSTEMS & STRUCTURES,67
COMPUTERS & EDUCATION,67
COMPUTERS & OPERATIONS RESEARCH,67
COMPUTERS IN INDUSTRY,67
IEEE WIRELESS COMMUNICATIONS,67
INFORMATICA,67
INFORMATION SYSTEMS FRONTIERS,67
HUMAN-COMPUTER INTERACTION,66
JOURNAL OF VISUALIZATION,66
SIMULATION MODELLING PRACTICE AND THEORY,66
SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,66
ENVIRONMENTAL MODELLING & SOFTWARE,65
RAIRO-THEORETICAL INFORMATICS AND APPLICATIONS,65
COMPUTER VISION AND IMAGE UNDERSTANDING,64
CONSTRAINTS,64
IEEE TRANSACTIONS ON MOBILE COMPUTING,64
MEDICAL IMAGE ANALYSIS,63
WIRELESS COMMUNICATIONS & MOBILE COMPUTING,63
EMPIRICAL SOFTWARE ENGINEERING,62
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,62
IBM JOURNAL OF RESEARCH AND DEVELOPMENT,62
INTERNATIONAL JOURNAL OF SATELLITE COMMUNICATIONS AND NETWORKING,62
COMPUTATIONAL LINGUISTICS,61
COMPUTER COMMUNICATIONS,61
COMPUTERS AND ELECTRONICS IN AGRICULTURE,61
JOURNAL OF INFORMATION TECHNOLOGY,61
BELL LABS TECHNICAL JOURNAL,60
COMPUTER ANIMATION AND VIRTUAL WORLDS,60
FORMAL ASPECTS OF COMPUTING,60
IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,60
INFORMATION AND SOFTWARE TECHNOLOGY,60
INFORMATION RETRIEVAL,60
INTERNATIONAL JOURNAL OF FOUNDATIONS OF COMPUTER SCIENCE,60
WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS,60
IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,59
INTERNET RESEARCH,59
MATHEMATICAL STRUCTURES IN COMPUTER SCIENCE,58
CMC-COMPUTERS MATERIALS & CONTINUA,57
IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,57
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,57
APPLIED SOFT COMPUTING,56
IEEE ANNALS OF THE HISTORY OF COMPUTING,56
INTERNATIONAL JOURNAL OF WAVELETS MULTIRESOLUTION AND INFORMATION PROCESSING,56
JOURNAL OF STATISTICAL SOFTWARE,56
KNOWLEDGE AND INFORMATION SYSTEMS,56
LANGUAGE RESOURCES AND EVALUATION,56
NEURAL NETWORK WORLD,56
REQUIREMENTS ENGINEERING,56
ACM TRANSACTIONS ON SENSOR NETWORKS,55
ARTIFICIAL INTELLIGENCE REVIEW,55
CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,55
COMPUTATIONAL BIOLOGY AND CHEMISTRY,55
COMPUTERS AND CONCRETE,55
COMPUTING IN SCIENCE & ENGINEERING,55
INTELLIGENT DATA ANALYSIS,55
INTERNATIONAL JOURNAL OF NEURAL SYSTEMS,55
MOBILE INFORMATION SYSTEMS,55
PROBLEMS OF INFORMATION TRANSMISSION,55
COMPUTER,54
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,54
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,54
COGNITIVE SYSTEMS RESEARCH,53
EVOLUTIONARY BIOINFORMATICS,53
JOURNAL OF DATABASE MANAGEMENT,53
LOGICAL METHODS IN COMPUTER SCIENCE,53
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,52
ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,52
COMPUTER NETWORKS,52
DIGITAL INVESTIGATION,52
INTERNATIONAL JOURNAL OF COMPUTERS COMMUNICATIONS & CONTROL,52
INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS,52
JOURNAL OF CELLULAR AUTOMATA,52
ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,51
IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY,51
INTERNATIONAL JOURNAL OF DATA MINING AND BIOINFORMATICS,51
INTERNATIONAL JOURNAL OF WEB SERVICES RESEARCH,51
INTERNATIONAL JOURNAL ON DOCUMENT ANALYSIS AND RECOGNITION,51
JOURNAL OF REAL-TIME IMAGE PROCESSING,51
JOURNAL OF WEB ENGINEERING,51
MATHEMATICAL MODELLING OF NATURAL PHENOMENA,51
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,50
ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,50
EURASIP JOURNAL ON WIRELESS COMMUNICATIONS AND NETWORKING,50
INTERNATIONAL JOURNAL ON SEMANTIC WEB AND INFORMATION SYSTEMS,50
JOURNAL OF NETWORK AND SYSTEMS MANAGEMENT,50
JOURNAL OF WEB SEMANTICS,50
ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,48
AUTOMATED SOFTWARE ENGINEERING,48
BRIEFINGS IN BIOINFORMATICS,48
IET COMPUTERS AND DIGITAL TECHNIQUES,48
INFORMATION TECHNOLOGY AND CONTROL,48
INTERNATIONAL JOURNAL OF INFORMATION SECURITY,48
SOFTWARE AND SYSTEMS MODELING,48
ACM COMPUTING SURVEYS,47
ACM TRANSACTIONS ON ALGORITHMS,47
ACM TRANSACTIONS ON APPLIED PERCEPTION,47
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,47
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,47
ACM TRANSACTIONS ON INTERNET TECHNOLOGY,47
CRYPTOLOGIA,47
IET INFORMATION SECURITY,47
INFORMATION FUSION,47
INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS,47
KSII TRANSACTIONS ON INTERNET AND INFORMATION SYSTEMS,47
ROMANIAN JOURNAL OF INFORMATION SCIENCE AND TECHNOLOGY,47
THEORETICAL BIOLOGY AND MEDICAL MODELLING,47
ACM TRANSACTIONS ON THE WEB,46
AD HOC & SENSOR WIRELESS NETWORKS,46
IEEE SYSTEMS JOURNAL,46
INTERNATIONAL JOURNAL OF AD HOC AND UBIQUITOUS COMPUTING,46
INTERNATIONAL JOURNAL OF UNCONVENTIONAL COMPUTING,46
SCIENTIFIC PROGRAMMING,46
AD HOC NETWORKS,45
COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,45
ICGA JOURNAL,45
IET COMPUTER VISION,45
IET RADAR SONAR AND NAVIGATION,45
COMPUTER SCIENCE AND INFORMATION SYSTEMS,44
INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT,44
JOURNAL OF THE ASSOCIATION FOR INFORMATION SYSTEMS,44
MALAYSIAN JOURNAL OF COMPUTER SCIENCE,44
SIAM JOURNAL ON IMAGING SCIENCES,44
CHINA COMMUNICATIONS,43
ENTERPRISE INFORMATION SYSTEMS,43
IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES,43
INFORMATION VISUALIZATION,43
INTERNATIONAL ARAB JOURNAL OF INFORMATION TECHNOLOGY,43
INTERNATIONAL JOURNAL OF WEB AND GRID SERVICES,43
JOURNAL OF INTERNET TECHNOLOGY,43
JOURNAL ON MULTIMODAL USER INTERFACES,43
GENETIC PROGRAMMING AND EVOLVABLE MACHINES,42
IEEE INTERNET COMPUTING,42
IEEE TRANSACTIONS ON HAPTICS,42
IET SOFTWARE,42
NEW REVIEW OF HYPERMEDIA AND MULTIMEDIA,42
PEER-TO-PEER NETWORKING AND APPLICATIONS,42
FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE,41
INSTRUCTIONAL SCIENCE,41
INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,41
JOURNAL OF GRID COMPUTING,41
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,40
ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,40
IEEE COMPUTER ARCHITECTURE LETTERS,40
INTERNATIONAL JOURNAL OF SENSOR NETWORKS,40
JOURNAL OF BIOMEDICAL INFORMATICS,40
JOURNAL OF OPTICAL COMMUNICATIONS AND NETWORKING,40
SECURITY AND COMMUNICATION NETWORKS,40
COGNITIVE COMPUTATION,39
CRYPTOGRAPHY AND COMMUNICATIONS-DISCRETE-STRUCTURES BOOLEAN FUNCTIONS AND SEQUENCES,39
IEEE MULTIMEDIA,39
INTERNATIONAL JOURNAL OF BIO-INSPIRED COMPUTATION,39
JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS,39
APPLIED ONTOLOGY,38
COMPUTER SUPPORTED COOPERATIVE WORK-THE JOURNAL OF COLLABORATIVE COMPUTING,38
IEEE TRANSACTIONS ON SERVICES COMPUTING,38
INTERNATIONAL JOURNAL OF DATA WAREHOUSING AND MINING,38
JOURNAL OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY,38
JOURNAL OF CHEMINFORMATICS,38
UNIVERSAL ACCESS IN THE INFORMATION SOCIETY,38
ACM TRANSACTIONS ON STORAGE,36
IEEE TRANSACTIONS ON COMPUTATIONAL INTELLIGENCE AND AI IN GAMES,36
INTERNATIONAL JOURNAL OF MACHINE LEARNING AND CYBERNETICS,36
JOURNAL OF ORGANIZATIONAL AND END USER COMPUTING,36
CURRENT BIOINFORMATICS,35
IEEE TRANSACTIONS ON AFFECTIVE COMPUTING,35
JOURNAL OF COMPUTATIONAL SCIENCE,35
NATURAL COMPUTING,35
SWARM INTELLIGENCE,35
VIRTUAL REALITY,35
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,33
JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING,33
PERVASIVE AND MOBILE COMPUTING,33
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING,32
SEMANTIC WEB,32
IEEE COMPUTATIONAL INTELLIGENCE MAGAZINE,31
ANNALS OF TELECOMMUNICATIONS,30
APPLIED CLINICAL INFORMATICS,30
SUSTAINABLE COMPUTING-INFORMATICS & SYSTEMS,30
IEEE SOFTWARE,29
IEEE TRANSACTIONS ON NETWORK AND SERVICE MANAGEMENT,28
IEEE WIRELESS COMMUNICATIONS LETTERS,28
MEMETIC COMPUTING,28
SWARM AND EVOLUTIONARY COMPUTATION,28
TRANSACTIONS ON EMERGING TELECOMMUNICATIONS TECHNOLOGIES,28
COMPUTER MUSIC JOURNAL,27
IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,27
JOURNAL OF SOFTWARE-EVOLUTION AND PROCESS,27
PHYSICAL COMMUNICATION,27
BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES,26
JOURNAL OF THE INSTITUTE OF TELECOMMUNICATIONS PROFESSIONALS,25
RESEARCH SYNTHESIS METHODS,25
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,24
ANNALS OF TELECOMMUNICATIONS-ANNALES DES TELECOMMUNICATIONS,24
IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTING,24
IET BIOMETRICS,24
SCIENCE CHINA-INFORMATION SCIENCES,24
BUSINESS & INFORMATION SYSTEMS ENGINEERING,23
FOUNDATIONS AND TRENDS IN INFORMATION RETRIEVAL,23
IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,23
IEEE TRANSACTIONS ON CYBERNETICS,23
JOURNAL OF LOGIC LANGUAGE AND INFORMATION,23
TSINGHUA SCIENCE AND TECHNOLOGY,23
ACM TRANSACTIONS ON COMPUTING EDUCATION,22
FRONTIERS OF COMPUTER SCIENCE,22
FRONTIERS IN NEUROROBOTICS,21
ANNALES DES TELECOMMUNICATIONS-ANNALS OF TELECOMMUNICATIONS,20
BIG DATA,20
JOURNAL OF LOGICAL AND ALGEBRAIC METHODS IN PROGRAMMING,20
STATISTICAL ANALYSIS AND DATA MINING,20
FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF GRID COMPUTING AND ESCIENCE,18
IEEE PERVASIVE COMPUTING,18
OPTICAL SWITCHING AND NETWORKING,18
INTERNATIONAL JOURNAL ON SOFTWARE TOOLS FOR TECHNOLOGY TRANSFER,17
IT PROFESSIONAL,17
NANO COMMUNICATION NETWORKS,17
IEEE COMPUTER GRAPHICS AND APPLICATIONS,16
IEEE EMBEDDED SYSTEMS LETTERS,16
IEEE TRANSACTIONS ON CLOUD COMPUTING,16
ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,15
INFORMATION RETRIEVAL JOURNAL,15
INTERNET RESEARCH-ELECTRONIC NETWORKING APPLICATIONS AND POLICY,15
JMIR SERIOUS GAMES,15
JOURNAL OF INFORMATION SECURITY AND APPLICATIONS,15
BIG DATA RESEARCH,14
HUMAN-CENTRIC COMPUTING AND INFORMATION SCIENCES,14
IEEE INTERNET OF THINGS JOURNAL,14
COMMUNICATIONS OF THE ACM,13
VEHICULAR COMMUNICATIONS,13
ACM TRANSACTIONS ON PRIVACY AND SECURITY,12
COMPUTER NETWORKS-THE INTERNATIONAL JOURNAL OF COMPUTER AND TELECOMMUNICATIONS NETWORKING,12
IEEE SECURITY & PRIVACY,12
IEEE TRANSACTIONS ON COGNITIVE AND DEVELOPMENTAL SYSTEMS,12
THEORY OF COMPUTING,12
FUTURE GENERATION COMPUTER SYSTEMS,11
FRONTIERS OF INFORMATION TECHNOLOGY & ELECTRONIC ENGINEERING,10
IEEE CLOUD COMPUTING,10
WILEY INTERDISCIPLINARY REVIEWS-DATA MINING AND KNOWLEDGE DISCOVERY,10
RAIRO-INFORMATIQUE THEORIQUE ET APPLICATIONS-THEORETICAL INFORMATICS AND APPLICATIONS,8
SIMULATION,7
FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF GRID COMPUTING THEORY METHODS AND APPLICATIONS,5
"ADVANCES IN COMPUTERS, VOL 101",4
COMPUTER SUPPORTED COOPERATIVE WORK-THE JOURNAL OF COLLABORATIVE COMPUTING AND WORK PRACTICES,4
"ADVANCES IN COMPUTERS, VOL 67",3
"ADVANCES IN COMPUTERS, VOL 77",3
"ADVANCES IN COMPUTERS, VOL 89",3
"ADVANCES IN COMPUTERS, VOL 62",2
"ADVANCES IN COMPUTERS, VOL 70",2
"ADVANCES IN COMPUTERS, VOL 71",2
"ADVANCES IN COMPUTERS, VOL 74",2
"ADVANCES IN COMPUTERS, VOL 78",2
"ADVANCES IN COMPUTERS, VOL 80",2
"ADVANCES IN COMPUTERS, VOL 82",2
"ADVANCES IN COMPUTERS, VOL 83",2
"ADVANCES IN COMPUTERS, VOL 86",2
"ADVANCES IN COMPUTERS, VOL 95",2
"ADVANCES IN COMPUTERS, VOL 98",2
"BLOCKCHAIN TECHNOLOGY: PLATFORMS, TOOLS AND USE CASES",2
CREATIVITY IN COMPUTING AND DATAFLOW SUPERCOMPUTING,2
DARK SILICON AND FUTURE ON-CHIP SYSTEMS,2
KNOWLEDGE ENGINEERING REVIEW,2
Logical Methods in Computer Science,2
"ADVANCES IN COMPUTERS , VOL 68",1
"ADVANCES IN COMPUTERS, VOL 105",1
"ADVANCES IN COMPUTERS, VOL 107",1
"ADVANCES IN COMPUTERS, VOL 72",1
"ADVANCES IN COMPUTERS, VOL 73",1
"ADVANCES IN COMPUTERS, VOL 84: DEPENDABLE AND SECURE SYSTEMS ENGINEERING",1
"ADVANCES IN COMPUTERS, VOL 85",1
"ADVANCES IN COMPUTERS, VOL 88: GREEN AND SUSTAINABLE COMPUTING, PT 2",1
"ADVANCES IN COMPUTERS, VOL 93",1
"ADVANCES IN COMPUTERS, VOL 94",1
"ADVANCES IN COMPUTERS, VOL 96: DATAFLOW PROCESSING",1
"ADVANCES IN COMPUTERS, VOL 99",1
"ADVANCES IN COMPUTERS, VOL. 60",1
"ADVANCES IN COMPUTERS, VOL. 61",1
"ADVANCES IN COMPUTERS: SOCIAL NETWORKING AND THE WEB, VOL 76",1
Digital Investigation,1
IEEE DESIGN & TEST,1
IEEE Transactions on Services Computing,1
IET Information Security,1
International Journal of Ad Hoc and Ubiquitous Computing,1
International Journal of Data Warehousing and Mining,1
International Journal of Web Services Research,1
Journal of Computational Science,1
Nano Communication Networks,1
Science China-Information Sciences,1
Swarm and Evolutionary Computation,1
