cluster,size,top_terms,dominant_subjects,example_titles
12,344,"security, key, encryption, secure, scheme, cryptography, attacks, attack, public, protocol","Computer Science, Computer Science, Theory & Methods, Mathematics, Mathematics, Applied, Computer Science, Information Systems",A survey of key management for secure group communication | COCA: A secure distributed online certification authority | Encryption Policies for Regulating Access to Outsourced Data
13,375,"finite, element, finite element, method, element method, numerical, model, analysis, elements, stress","Engineering, Computer Science, Computer Science, Interdisciplinary Applications, Mathematics, Mathematics, Interdisciplinary Applications",Cross-Loop Optimization of Arithmetic Intensity for Finite Element Local Assembly | Navigating through triangle meshes implemented as linear quadtrees | deal. II - A general-purpose object-oriented finite element library
14,316,"scheduling, time, real time, real, task, systems, tasks, performance, analysis, execution","Computer Science, Computer Science, Theory & Methods, Computer Science, Hardware & Architecture, Computer Science, Software Engineering, Computer Science, Information Systems",A Survey of Hard Real-Time Scheduling for Multiprocessor Systems | High-Level Synthesis of Digital Microfluidic Biochips | Energy- and Performance-Aware Scheduling of Tasks on Parallel and Distributed Systems
15,444,"fuzzy, decision, decision making, making, linguistic, operators, aggregation, group decision, sets, intuitionistic","Computer Science, Computer Science, Artificial Intelligence, Computer Science, Interdisciplinary Applications, Computer Science, Information Systems, Computer Science, Theory & Methods",A fuzzy approach to construction project risk assessment and analysis: construction project risk management system | Evaluation of services using a fuzzy analytic hierarchy process | Compromise ratio method for fuzzy multi-attribute group decision making
16,177,"recommender, user, recommendation, recommender systems, users, collaborative, systems, filtering, collaborative filtering, based","Computer Science, Computer Science, Information Systems, Computer Science, Artificial Intelligence, Computer Science, Software Engineering, Computer Science, Cybernetics",Collaborative Filtering beyond the User-Item Matrix: A Survey of the State of the Art and Future Challenges | Exploiting hierarchical domain structure to compute similarity | Evaluating collaborative filtering recommender systems
17,475,"learning, classification, data, machine, feature, selection, machine learning, features, methods, feature selection","Computer Science, Computer Science, Artificial Intelligence, Computer Science, Information Systems, Computer Science, Theory & Methods, Computer Science, Software Engineering",A Survey on Concept Drift Adaptation | A Survey on Ensemble Learning for Data Stream Classification | Feature Selection: A Data Perspective
18,546,"power, energy, design, low, circuit, circuits, consumption, high, performance, chip","Computer Science, Computer Science, Hardware & Architecture, Engineering, Engineering, Electrical & Electronic, Computer Science, Software Engineering",Architectural Implications of Quantum Computing Technologies | Predictive Technology Model for Nano-CMOS Design Exploration | Automated Design of Pin-Constrained Digital Microfluidic Biochips Under Droplet-Interference Constraints
19,416,"evolutionary, optimization, genetic, algorithm, algorithms, problems, objective, evolution, genetic algorithm, search","Computer Science, Computer Science, Artificial Intelligence, Computer Science, Theory & Methods, Computer Science, Interdisciplinary Applications, Engineering",Exploration and Exploitation in Evolutionary Algorithms: A Survey | Many-Objective Evolutionary Algorithms: A Survey | A Competitive Divide-and-Conquer Algorithm for Unconstrained Large-Scale Black-Box Optimization
20,326,"social, media, social media, social networks, networks, online, network, social network, analysis, users","Computer Science, Computer Science, Information Systems, Computer Science, Software Engineering, Computer Science, Artificial Intelligence, Computer Science, Theory & Methods",Overlapping Community Detection in Networks: The State-of-the-Art and Comparative Study | A Survey of Trust in Social Networks | Processing Social Media Messages in Mass Emergency: A Survey
21,428,"retrieval, information, text, language, information retrieval, search, semantic, web, documents, word","Computer Science, Computer Science, Information Systems, Computer Science, Artificial Intelligence, Computer Science, Interdisciplinary Applications, Computer Science, Software Engineering","A Survey of Automatic Query Expansion in Information Retrieval | Socializing the Semantic Gap: A Comparative Survey on Image Tag Assignment, Refinement, and Retrieval | The Natural History Production Line: An Industrial Approach to the Digitization of Scientific Collections"
22,121,"codes, code, coding, binary, channel, error, decoding, linear, space, parity","Computer Science, Computer Science, Theory & Methods, Mathematics, Mathematics, Applied, Engineering",Sparse Hashing for Fast Multimedia Search | A Hybrid Approach to Failed Disk Recovery Using RAID-6 Codes: Algorithms and Performance Evaluation | Pyramid Codes: Flexible Schemes to Trade Space for Access Efficiency in Reliable Data Storage Systems
23,186,"process, business, processes, workflow, business process, systems, petri, management, nets, models","Computer Science, Computer Science, Information Systems, Computer Science, Software Engineering, Computer Science, Theory & Methods, Computer Science, Artificial Intelligence",Atomicity and isolation for transactional processes | Conformance checking of service behavior | From Business Process Models to Process-Oriented Software Systems
24,263,"wavelet, transform, signal, signals, frequency, detection, time, wavelet transform, analysis, classification","Computer Science, Engineering, Computer Science, Interdisciplinary Applications, Computer Science, Artificial Intelligence, Engineering, Electrical & Electronic",Locally adaptive dimensionality reduction for indexing large time series databases | Computer Generation of Hardware for Linear Digital Signal Processing Transforms | A See-through-Wall System for Device-Free Human Motion Sensing Based on Battery-Free RFID
25,208,"test, testing, software, generation, fault, case, test cases, cases, coverage, test case","Computer Science, Computer Science, Software Engineering, Engineering, Engineering, Electrical & Electronic, Computer Science, Theory & Methods",A Survey of Combinatorial Testing | Efficient Parallel Testing and Diagnosis of Digital Microfluidic Biochips | Optimal test access architectures for system-on-a-chip
26,319,"learning, students, education, computer, teaching, educational, study, student, knowledge, online","Computer Science, Education & Educational Research, Computer Science, Interdisciplinary Applications, Education, Scientific Disciplines, Engineering","Modeling Visitors' Profiles: A Study to Investigate Adaptation Aspects for Museum Learning Technologies | A Framework to Design, Develop, and Evaluate Immersive and Collaborative Serious Games in Cultural Heritage | Learning Networking by Reproducing Research Results"
27,352,"perceived, acceptance, technology, model, online, trust, information, technology acceptance, adoption, commerce","Computer Science, Computer Science, Information Systems, Information Science & Library Science, Business & Economics, Management","Perspectives on Net Neutrality and Internet Fast-Lanes | Improving Performance, Perceived Usability, and Aesthetics with Culturally Adaptive User Interfaces | Modeling the user acceptance of long-term evolution (LTE) services"
28,249,"vector, support vector, support, machine, classification, svm, machines, vector machines, vector machine, learning","Computer Science, Computer Science, Artificial Intelligence, Computer Science, Interdisciplinary Applications, Computer Science, Information Systems, Engineering",A Survey of Predictive Modeling on Im balanced Domains | Bigram Language Models and Reevaluation Strategy for Improved Recognition of Online Handwritten Tamil Words | Learning to crawl: Comparing classification schemes
29,407,"logic, semantics, reasoning, theory, calculus, programs, logics, proof, rules, programming","Computer Science, Computer Science, Theory & Methods, Logic, Science & Technology - Other Topics, Computer Science, Artificial Intelligence",Kleene algebra with domain | Unfolding partiality and disjunctions in stable model semantics | A system of interaction and structure
30,288,"ad, ad hoc, hoc, hoc networks, networks, routing, mobile, wireless, network, mobile ad","Computer Science, Telecommunications, Computer Science, Information Systems, Engineering, Electrical & Electronic, Engineering","ExOR: Opportunistic multi-hop routing for wireless networks | VANETs' research over the past decade: overview, credibility, and trends | Design Patterns from Biology for Distributed Computing"
31,387,"problem, search, algorithm, problems, routing, optimization, heuristic, solution, algorithms, vehicle","Computer Science, Computer Science, Theory & Methods, Computer Science, Artificial Intelligence, Operations Research & Management Science, Computer Science, Interdisciplinary Applications",Placement of Defect-Tolerant Digital Microfluidic Biochips Using the T-tree Formulation | Resource-Constrained Scheduling for Digital Microfluidic Biochips | To Fill or Not to Fill: The Gas Station Problem
32,310,"virtual, reality, virtual reality, environments, visual, real, environment, augmented, user, interaction","Computer Science, Computer Science, Software Engineering, Computer Science, Cybernetics, Computer Science, Interdisciplinary Applications, Engineering",Interacting with Virtual Reconstructions in Museums: The Etruscanning Project | The Revealing Flashlight: Interactive Spatial Augmented Reality for Detail Exploration of Cultural Heritage Artifacts | Visualizing and Assessing Hypotheses for Marine Archaeology in a VR CAVE Environment
33,250,"wiley, sons, john, wiley sons, sons keywords, john wiley, copyright, satellite, paper, based","Computer Science, Computer Science, Software Engineering, Telecommunications, Engineering, Engineering, Aerospace",Capturing human motion using body-fixed sensors: outdoor measurement and clinical applications | Synthesizing multimodal utterances for conversational agents | Interaction of fluids with deformable solids
34,192,"clustering, cluster, data, algorithm, clusters, algorithms, fuzzy, based, means, clustering algorithm","Computer Science, Computer Science, Information Systems, Computer Science, Artificial Intelligence, Computer Science, Software Engineering, Computer Science, Theory & Methods","Clustering-Based Selection for the Exploration of Compiler Optimization Sequences | Using Bisect K-Means Clustering Technique in the Analysis of Arabic Documents | DBSCAN Revisited, Revisited: Why and How You Should (Still) Use DBSCAN"
35,639,"models, model, data, analysis, estimation, bayesian, using, methods, distribution, carlo","Computer Science, Computer Science, Interdisciplinary Applications, Mathematics, Computer Science, Theory & Methods, Engineering",Conditional Random Fields for Korean Morpheme Segmentation and POS Tagging | Real-time texture synthesis by patch-based sampling | On Filtering the Noise from the Random Parameters in Monte Carlo Rendering
36,357,"graph, graphs, algorithms, algorithm, vertex, vertices, time, problem, set, tree","Computer Science, Computer Science, Theory & Methods, Mathematics, Computer Science, Information Systems, Mathematics, Applied",A General Approach to Online Network Optimization Problems | Approximate Distance Oracles for Unweighted Graphs in Expected O(n(2)) Time | Rank-Maximal Matchings
37,186,"automata, cellular, cellular automata, finite, automaton, languages, ca, cell, quantum, complexity","Computer Science, Computer Science, Theory & Methods, Mathematics, Mathematics, Interdisciplinary Applications, Computer Science, Information Systems",Simulation of Random Cell Displacements in QCA | Defects and Faults in QCA-Based PLAs | Asynchronous Solutions for Nanomagnetic Logic Circuits
38,442,"language, languages, programming, semantics, programs, object, program, code, software, type","Computer Science, Computer Science, Software Engineering, Computer Science, Theory & Methods, Computer Science, Information Systems, Computer Science, Artificial Intelligence",Advances in dataflow programming languages | Lowering the barriers to programming: A taxonomy of programming environments and languages for novice programmers | Programming Protocol-Independent Packet Processors
39,386,"3d, surface, mesh, shape, method, point, surfaces, meshes, approach, elsevier","Computer Science, Computer Science, Software Engineering, Mathematics, Mathematics, Applied, Engineering",A Local Roughness Measure for 3D Meshes and its Application to Visual Masking | Mesh Saliency and Human Eye Fixations | The Contribution of Stereoscopic and Motion Depth Cues to the Perception of Structures in 3D Point Clouds
40,252,"agent, agents, multi, multi agent, systems, agent systems, agent based, multiagent, distributed, model","Computer Science, Computer Science, Artificial Intelligence, Computer Science, Software Engineering, Automation & Control Systems, Computer Science, Theory & Methods",How to Meet Asynchronously (Almost) Everywhere | Specifying Protocols for Multi-Agent Systems Interaction | Agent Clustering Based on Semantic Negotiation
41,320,"ontology, semantic, web, ontologies, semantic web, knowledge, data, information, owl, based","Computer Science, Computer Science, Information Systems, Computer Science, Artificial Intelligence, Computer Science, Software Engineering, Computer Science, Theory & Methods",Ontology visualization methods - A survey | Safeguarding and Accessing Drama as Intangible Cultural Heritage | Evaluating DANTE: Semantic transcoding for visually disabled users
42,416,"business, management, information, technology, knowledge, research, enterprise, systems, organizational, information technology","Computer Science, Computer Science, Information Systems, Information Science & Library Science, Business & Economics, Management",A multidimensional performance model for consolidating Balanced Scorecards | Analyzing the m-business landscape | Using Big Data to Improve Customer Experience and Business Performance
43,430,"radio, wireless, networks, access, spectrum, cognitive, channel, cognitive radio, network, cellular","Telecommunications, Engineering, Engineering, Electrical & Electronic, Computer Science, Computer Science, Information Systems",An empirical analysis of the IEEE 802.11 MAC layer handoff process | Green-Energy-Powered Cognitive Radio Networks: Joint Time and Power Allocation | IEEE 802.11s wireless mesh networks: Framework and challenges
44,238,"service, services, web, web services, web service, composition, qos, service composition, oriented, service oriented","Computer Science, Computer Science, Information Systems, Computer Science, Software Engineering, Computer Science, Theory & Methods, Computer Science, Hardware & Architecture",Semantics-based Context-aware Dynamic Service Composition | Trustworthy Service Selection and Composition | Engineering Pervasive Service Ecosystems: The SAPERE Approach
45,341,"optimization, problems, method, methods, algorithm, linear, convergence, programming, convex, problem","Computer Science, Mathematics, Computer Science, Software Engineering, Mathematics, Applied, Operations Research & Management Science",Optimization Modulo Theories with Linear Rational Costs | Anderson Acceleration for Geometry Optimization and Physics Simulation | Learning Incoherent Sparse and Low-Rank Patterns from Multiple Tasks
46,248,"mining, data mining, data, rules, patterns, association, discovery, rule, frequent, pattern","Computer Science, Computer Science, Information Systems, Computer Science, Artificial Intelligence, Computer Science, Software Engineering, Computer Science, Theory & Methods",Interestingness measures for data mining: A survey | A Taxonomy of Sequential Pattern Mining Algorithms | Time-Series Data Mining
47,248,"stability, control, systems, delays, neural, neural networks, time, delay, networks, lyapunov","Computer Science, Computer Science, Artificial Intelligence, Computer Science, Theory & Methods, Engineering, Engineering, Electrical & Electronic",Autonomic Provisioning with Self-Adaptive Neural Fuzzy Control for Percentile-Based Delay Guarantee | Numerical bifurcation analysis of delay differential equations using DDE-BIFTOOL | Distributed State Estimation in Sensor Networks with Randomly Occurring Nonlinearities Subject to Time Delays
48,263,"health, human, information, activity, medical, context, data, user, care, technology","Computer Science, Computer Science, Information Systems, Telecommunications, Medical Informatics, Computer Science, Artificial Intelligence",Interoperable and Adaptive Fuzzy Services for Ambient Intelligence Applications | Aesthetics and Experience-Centered Design | Investigating the roles of knowledge and cognitive abilities in older adult information seeking on the Web
49,498,"neural, neural networks, neural network, network, networks, learning, artificial, artificial neural, deep, prediction","Computer Science, Computer Science, Artificial Intelligence, Computer Science, Interdisciplinary Applications, Computer Science, Theory & Methods, Engineering",Visual Recognition of Ancient Inscriptions Using Convolutional Neural Network and Fisher Vector | Robust Learning Approach for Neuro-Inspired Nanoscale Crossbar Architecture | Spike-Time-Dependent Encoding for Neuromorphic Processors
50,160,"authentication, scheme, security, smart, password, authentication scheme, user, attack, protocol, smart card","Computer Science, Computer Science, Information Systems, Telecommunications, Engineering, Computer Science, Hardware & Architecture","One-Time Cookies: Preventing Session Hijacking Attacks with Stateless Authentication Tokens | Server Location Verification (SLV) and Server Location Pinning: Augmenting TLS Authentication | A novel user authentication and key agreement scheme for heterogeneous ad hoc wireless sensor networks, based on the Internet of Things notion"
51,613,"image, images, segmentation, algorithm, method, detection, based, features, visual, color","Computer Science, Computer Science, Artificial Intelligence, Computer Science, Software Engineering, Engineering, Engineering, Electrical & Electronic",Dynamic Shading Enhancement for Reflectance Transformation Imaging | Automatic Analysis of UV-Induced Fluorescence Imagery of Historical Violins | Evaluating HDR Rendering Algorithms
52,143,"rough, rough set, set, sets, rough sets, approximation, theory, decision, set theory, fuzzy","Computer Science, Computer Science, Artificial Intelligence, Computer Science, Theory & Methods, Computer Science, Information Systems, Computer Science, Software Engineering",A novel soft rough set: Soft rough hemirings and corresponding multicriteria group decision making | On a novel uncertain soft set model: Z-soft fuzzy rough set model and corresponding decision making methods | Positive approximation: An accelerator for attribute reduction in rough set theory
53,488,"cloud, computing, cloud computing, service, data, resource, services, resources, keywords cloud, security","Computer Science, Computer Science, Information Systems, Computer Science, Theory & Methods, Computer Science, Software Engineering, Computer Science, Hardware & Architecture",Cloud Computing Resource Scheduling and a Survey of Its Evolutionary Approaches | A Break in the Clouds: Towards a Cloud Definition | The Cost of a Cloud: Research Problems in Data Center Networks
54,297,"swarm, optimization, particle, particle swarm, swarm optimization, algorithm, pso, search, algorithms, problems","Computer Science, Computer Science, Artificial Intelligence, Computer Science, Theory & Methods, Computer Science, Interdisciplinary Applications, Engineering",Particle Swarm Optimizer with Adaptive Tabu and Mutation: A Unified Framework for Efficient Mutation Operators | A hybrid Particle Swarm Optimization - Simplex algorithm (PSOS) for structural damage identification | A new optimization method: Dolphin echolocation
55,448,"channel, channels, fading, wireless, power, capacity, mimo, multiple, signal, diversity","Telecommunications, Engineering, Engineering, Electrical & Electronic, Computer Science, Computer Science, Information Systems",From RSSI to CSI: Indoor Localization via Channel Response | Embracing wireless interference: Analog network coding | Tool Release: Gathering 802.11n Traces with Channel State Information
56,277,"checking, verification, model checking, model, systems, logic, formal, temporal, state, properties","Computer Science, Computer Science, Software Engineering, Computer Science, Theory & Methods, Computer Science, Information Systems, Computer Science, Hardware & Architecture",Adaptive Selection of Necessary and Sufficient Checkpoints for Dynamic Verification of Temporal Constraints in Grid Workflow Systems | Formal Specification and Verification of Ubiquitous and Pervasive Systems | MAPE-K Formal Templates to Rigorously Design Behaviors for Self-Adaptive Systems
57,558,"network, networks, traffic, optical, routing, performance, control, service, internet, bandwidth","Computer Science, Computer Science, Information Systems, Telecommunications, Engineering, Engineering, Electrical & Electronic",Survey of network-based defense mechanisms countering the DoS and DDoS problems | NANA: A Nano-Scale Active Network Architecture | Photonic Network-on-Chip Architectures Using Multi layer Deposited Silicon Materials for High-Performance Chip Multiprocessors
58,457,"recognition, speech, human, features, feature, face, emotion, facial, speech recognition, using","Computer Science, Computer Science, Artificial Intelligence, Computer Science, Interdisciplinary Applications, Computer Science, Information Systems, Computer Science, Software Engineering",A Tutorial on Human Activity Recognition Using Body-Worn Inertial Sensors | An Other-Race Effect for Face Recognition Algorithms | Multimodal Recognition of Reading Activity in Transit Using Body-Worn Sensors
59,272,"query, queries, data, database, databases, search, processing, retrieval, query processing, algorithms","Computer Science, Computer Science, Information Systems, Computer Science, Software Engineering, Computer Science, Theory & Methods, Computer Science, Hardware & Architecture",Searching in metric spaces | A Survey of Top-k Query Processing Techniques in Relational Database Systems | Location-Dependent Query Processing: Where We Are and Where We Are Heading
