article_id,actual_journal,predicted_top_1,predicted_top_5,hit_at_1,hit_at_3,hit_at_5,model
88673,ACM COMPUTING SURVEYS,JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY | IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS | WIRELESS NETWORKS | MOBILE NETWORKS & APPLICATIONS | VLDB JOURNAL,0,0,0,TFIDF
88676,ACM COMPUTING SURVEYS,NEUROCOMPUTING,NEUROCOMPUTING | COMPUTERS & GRAPHICS-UK | IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS | JOURNAL OF INFORMATION SCIENCE AND ENGINEERING | COMPUTER JOURNAL,0,0,0,TFIDF
88677,ACM COMPUTING SURVEYS,IEEE TRANSACTIONS ON COMPUTERS,IEEE TRANSACTIONS ON COMPUTERS | DESIGN AUTOMATION FOR EMBEDDED SYSTEMS | JOURNAL OF SYSTEMS ARCHITECTURE | ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS | MICROPROCESSORS AND MICROSYSTEMS,0,0,0,TFIDF
88680,ACM COMPUTING SURVEYS,THEORETICAL COMPUTER SCIENCE,THEORETICAL COMPUTER SCIENCE | JOURNAL OF INTELLIGENT INFORMATION SYSTEMS | SIAM JOURNAL ON COMPUTING | SOFTWARE-PRACTICE & EXPERIENCE | JOURNAL OF THE ACM,0,0,0,TFIDF
88653,ACM COMPUTING SURVEYS,DISTRIBUTED AND PARALLEL DATABASES,DISTRIBUTED AND PARALLEL DATABASES | ACM COMPUTING SURVEYS | PROGRAMMING AND COMPUTER SOFTWARE | ACM TRANSACTIONS ON DATABASE SYSTEMS | SIGMOD RECORD,0,1,1,BERT
88654,ACM COMPUTING SURVEYS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE | JOURNAL OF LOGIC AND COMPUTATION | KNOWLEDGE ENGINEERING REVIEW | INTERNATIONAL JOURNAL OF APPROXIMATE REASONING | JOURNAL OF AUTOMATED REASONING,0,0,0,BERT
88657,ACM COMPUTING SURVEYS,JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,JOURNAL OF INTELLIGENT INFORMATION SYSTEMS | JOURNAL OF UNIVERSAL COMPUTER SCIENCE | ACM TRANSACTIONS ON DATABASE SYSTEMS | KNOWLEDGE ENGINEERING REVIEW | DATA & KNOWLEDGE ENGINEERING,0,0,0,BERT
88658,ACM COMPUTING SURVEYS,ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM TRANSACTIONS ON DATABASE SYSTEMS | JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION | MULTIMEDIA TOOLS AND APPLICATIONS | IEEE TRANSACTIONS ON MULTIMEDIA | ACM COMPUTING SURVEYS,0,0,1,BERT
88661,ACM COMPUTING SURVEYS,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS | NEW GENERATION COMPUTING | DISTRIBUTED AND PARALLEL DATABASES | DISTRIBUTED COMPUTING | INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,0,0,0,BERT
88663,ACM COMPUTING SURVEYS,INFORMATION AND COMPUTATION,INFORMATION AND COMPUTATION | COMPUTER JOURNAL | THEORETICAL COMPUTER SCIENCE | SIAM JOURNAL ON COMPUTING | JOURNAL OF VISUAL LANGUAGES AND COMPUTING,0,0,0,BERT
88664,ACM COMPUTING SURVEYS,COMPUTING AND INFORMATICS,COMPUTING AND INFORMATICS | INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE | COMPUTER VISION AND IMAGE UNDERSTANDING | MULTIMEDIA TOOLS AND APPLICATIONS | IEEE TRANSACTIONS ON MULTIMEDIA,0,0,0,BERT
88665,ACM COMPUTING SURVEYS,JOURNAL OF HEURISTICS,JOURNAL OF HEURISTICS | INFORMATION SCIENCES | JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE | COMPUTERS & OPERATIONS RESEARCH | ENGINEERING WITH COMPUTERS,0,0,0,BERT
88668,ACM COMPUTING SURVEYS,PARALLEL COMPUTING,PARALLEL COMPUTING | JOURNAL OF NETWORK AND COMPUTER APPLICATIONS | IEEE TRANSACTIONS ON INFORMATION THEORY | ACM TRANSACTIONS ON COMPUTER SYSTEMS | IEEE-ACM TRANSACTIONS ON NETWORKING,0,0,0,BERT
88670,ACM COMPUTING SURVEYS,ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM TRANSACTIONS ON COMPUTER SYSTEMS | DISTRIBUTED COMPUTING | JOURNAL OF COMPUTER AND SYSTEM SCIENCES | ACM SIGCOMM COMPUTER COMMUNICATION REVIEW | COMPUTER COMMUNICATIONS,0,0,0,BERT
88672,ACM COMPUTING SURVEYS,SOFTWARE-PRACTICE & EXPERIENCE,SOFTWARE-PRACTICE & EXPERIENCE | INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING | ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS | JOURNAL OF VISUAL LANGUAGES AND COMPUTING | JOURNAL OF THE ACM,0,0,0,BERT
88673,ACM COMPUTING SURVEYS,JOURNAL OF SUPERCOMPUTING,JOURNAL OF SUPERCOMPUTING | WIRELESS NETWORKS | MOBILE NETWORKS & APPLICATIONS | IEEE COMMUNICATIONS MAGAZINE | TELECOMMUNICATION SYSTEMS,0,0,0,BERT
88676,ACM COMPUTING SURVEYS,NEUROCOMPUTING,NEUROCOMPUTING | JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION | VISUAL COMPUTER | COMPUTER VISION AND IMAGE UNDERSTANDING | INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,0,0,0,BERT
88677,ACM COMPUTING SURVEYS,IEEE TRANSACTIONS ON COMPUTERS,IEEE TRANSACTIONS ON COMPUTERS | DESIGN AUTOMATION FOR EMBEDDED SYSTEMS | INTEGRATION-THE VLSI JOURNAL | MICROPROCESSORS AND MICROSYSTEMS | JOURNAL OF SYSTEMS ARCHITECTURE,0,0,0,BERT
88680,ACM COMPUTING SURVEYS,THEORETICAL COMPUTER SCIENCE,THEORETICAL COMPUTER SCIENCE | SIAM JOURNAL ON COMPUTING | JOURNAL OF THE ACM | ACM TRANSACTIONS ON INFORMATION SYSTEMS | VLDB JOURNAL,0,0,0,BERT
88653,ACM COMPUTING SURVEYS,DISTRIBUTED AND PARALLEL DATABASES,DISTRIBUTED AND PARALLEL DATABASES | VLDB JOURNAL | ACM TRANSACTIONS ON DATABASE SYSTEMS | SIGMOD RECORD | INTERNATIONAL JOURNAL OF COOPERATIVE INFORMATION SYSTEMS,0,0,0,HYBRID
88654,ACM COMPUTING SURVEYS,JOURNAL OF LOGIC AND COMPUTATION,JOURNAL OF LOGIC AND COMPUTATION | ARTIFICIAL INTELLIGENCE | KNOWLEDGE ENGINEERING REVIEW | INTERNATIONAL JOURNAL OF APPROXIMATE REASONING | INFORMATION SYSTEMS,0,0,0,HYBRID
88657,ACM COMPUTING SURVEYS,ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM TRANSACTIONS ON INFORMATION SYSTEMS | JOURNAL OF UNIVERSAL COMPUTER SCIENCE | JOURNAL OF INTELLIGENT INFORMATION SYSTEMS | ACM TRANSACTIONS ON DATABASE SYSTEMS | ACM COMPUTING SURVEYS,0,0,1,HYBRID
88658,ACM COMPUTING SURVEYS,ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM TRANSACTIONS ON DATABASE SYSTEMS | MULTIMEDIA TOOLS AND APPLICATIONS | DISTRIBUTED AND PARALLEL DATABASES | DATA & KNOWLEDGE ENGINEERING | ACM COMPUTING SURVEYS,0,0,1,HYBRID
88661,ACM COMPUTING SURVEYS,DISTRIBUTED AND PARALLEL DATABASES,DISTRIBUTED AND PARALLEL DATABASES | NEW GENERATION COMPUTING | ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS | JOURNAL OF SUPERCOMPUTING | DISTRIBUTED COMPUTING,0,0,0,HYBRID
88663,ACM COMPUTING SURVEYS,COMPUTERS & OPERATIONS RESEARCH,COMPUTERS & OPERATIONS RESEARCH | SIAM JOURNAL ON COMPUTING | INFORMATION AND COMPUTATION | COMPUTER JOURNAL | THEORETICAL COMPUTER SCIENCE,0,0,0,HYBRID
88664,ACM COMPUTING SURVEYS,COMPUTING AND INFORMATICS,COMPUTING AND INFORMATICS | MULTIMEDIA TOOLS AND APPLICATIONS | INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE | IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS | COMPUTER VISION AND IMAGE UNDERSTANDING,0,0,0,HYBRID
88665,ACM COMPUTING SURVEYS,JOURNAL OF HEURISTICS,JOURNAL OF HEURISTICS | INFORMATION SCIENCES | COMPUTERS & OPERATIONS RESEARCH | EVOLUTIONARY COMPUTATION | COMPUTERS & STRUCTURES,0,0,0,HYBRID
88668,ACM COMPUTING SURVEYS,IEEE TRANSACTIONS ON INFORMATION THEORY,IEEE TRANSACTIONS ON INFORMATION THEORY | PARALLEL COMPUTING | ACM TRANSACTIONS ON COMPUTER SYSTEMS | IEEE-ACM TRANSACTIONS ON NETWORKING | DISTRIBUTED AND PARALLEL DATABASES,0,0,0,HYBRID
88670,ACM COMPUTING SURVEYS,ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM TRANSACTIONS ON COMPUTER SYSTEMS | DISTRIBUTED COMPUTING | COMPUTER SYSTEMS SCIENCE AND ENGINEERING | IEEE-ACM TRANSACTIONS ON NETWORKING | JOURNAL OF INFORMATION SCIENCE AND ENGINEERING,0,0,0,HYBRID
88672,ACM COMPUTING SURVEYS,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS | SOFTWARE-PRACTICE & EXPERIENCE | INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING | JOURNAL OF VISUAL LANGUAGES AND COMPUTING | INFORMATION AND SOFTWARE TECHNOLOGY,0,0,0,HYBRID
88673,ACM COMPUTING SURVEYS,WIRELESS NETWORKS,WIRELESS NETWORKS | MOBILE NETWORKS & APPLICATIONS | JOURNAL OF SUPERCOMPUTING | JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING | JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,0,0,0,HYBRID
88676,ACM COMPUTING SURVEYS,NEUROCOMPUTING,NEUROCOMPUTING | JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION | VISUAL COMPUTER | INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE | COMPUTER VISION AND IMAGE UNDERSTANDING,0,0,0,HYBRID
88677,ACM COMPUTING SURVEYS,IEEE TRANSACTIONS ON COMPUTERS,IEEE TRANSACTIONS ON COMPUTERS | INTEGRATION-THE VLSI JOURNAL | JOURNAL OF SYSTEMS ARCHITECTURE | DESIGN AUTOMATION FOR EMBEDDED SYSTEMS | MICROPROCESSORS AND MICROSYSTEMS,0,0,0,HYBRID
88680,ACM COMPUTING SURVEYS,THEORETICAL COMPUTER SCIENCE,THEORETICAL COMPUTER SCIENCE | SIAM JOURNAL ON COMPUTING | JOURNAL OF THE ACM | ACM TRANSACTIONS ON INFORMATION SYSTEMS | VLDB JOURNAL,0,0,0,HYBRID
88653,ACM COMPUTING SURVEYS,DISTRIBUTED AND PARALLEL DATABASES,DISTRIBUTED AND PARALLEL DATABASES | SIGMOD RECORD | ACM COMPUTING SURVEYS | VLDB JOURNAL | PROGRAMMING AND COMPUTER SOFTWARE,0,1,1,ENSEMBLE
88654,ACM COMPUTING SURVEYS,ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE | JOURNAL OF LOGIC AND COMPUTATION | KNOWLEDGE ENGINEERING REVIEW | INTERNATIONAL JOURNAL OF APPROXIMATE REASONING | AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,0,0,0,ENSEMBLE
88657,ACM COMPUTING SURVEYS,DATA & KNOWLEDGE ENGINEERING,DATA & KNOWLEDGE ENGINEERING | JOURNAL OF INTELLIGENT INFORMATION SYSTEMS | ACM COMPUTING SURVEYS | KNOWLEDGE ENGINEERING REVIEW | ACM TRANSACTIONS ON DATABASE SYSTEMS,0,1,1,ENSEMBLE
88658,ACM COMPUTING SURVEYS,DATA & KNOWLEDGE ENGINEERING,DATA & KNOWLEDGE ENGINEERING | ACM TRANSACTIONS ON DATABASE SYSTEMS | DISTRIBUTED AND PARALLEL DATABASES | MULTIMEDIA TOOLS AND APPLICATIONS | ACM COMPUTING SURVEYS,0,0,1,ENSEMBLE
88661,ACM COMPUTING SURVEYS,JOURNAL OF SUPERCOMPUTING,JOURNAL OF SUPERCOMPUTING | INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS | ACM TRANSACTIONS ON COMPUTER SYSTEMS | JOURNAL OF COMMUNICATIONS AND NETWORKS | ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,0,0,0,ENSEMBLE
88663,ACM COMPUTING SURVEYS,ACTA INFORMATICA,ACTA INFORMATICA | COMPUTER GRAPHICS FORUM | THEORY OF COMPUTING SYSTEMS | SIAM JOURNAL ON COMPUTING | THEORETICAL COMPUTER SCIENCE,0,0,0,ENSEMBLE
88664,ACM COMPUTING SURVEYS,COMPUTING AND INFORMATICS,COMPUTING AND INFORMATICS | INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE | MULTIMEDIA TOOLS AND APPLICATIONS | JOURNAL OF INFORMATION SCIENCE AND ENGINEERING | COMPUTER VISION AND IMAGE UNDERSTANDING,0,0,0,ENSEMBLE
88665,ACM COMPUTING SURVEYS,INFORMATION SCIENCES,INFORMATION SCIENCES | JOURNAL OF HEURISTICS | JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE | IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION | THEORETICAL COMPUTER SCIENCE,0,0,0,ENSEMBLE
88668,ACM COMPUTING SURVEYS,MULTIMEDIA TOOLS AND APPLICATIONS,MULTIMEDIA TOOLS AND APPLICATIONS | PARALLEL COMPUTING | IEEE TRANSACTIONS ON INFORMATION THEORY | INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS | JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,0,0,0,ENSEMBLE
88670,ACM COMPUTING SURVEYS,COMPUTER SYSTEMS SCIENCE AND ENGINEERING,COMPUTER SYSTEMS SCIENCE AND ENGINEERING | ACM TRANSACTIONS ON COMPUTER SYSTEMS | MOBILE NETWORKS & APPLICATIONS | JOURNAL OF COMPUTER AND SYSTEM SCIENCES | DISTRIBUTED COMPUTING,0,0,0,ENSEMBLE
88672,ACM COMPUTING SURVEYS,SOFTWARE-PRACTICE & EXPERIENCE,SOFTWARE-PRACTICE & EXPERIENCE | INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING | ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS | INFORMATION AND SOFTWARE TECHNOLOGY | JOURNAL OF VISUAL LANGUAGES AND COMPUTING,0,0,0,ENSEMBLE
88673,ACM COMPUTING SURVEYS,WIRELESS NETWORKS,WIRELESS NETWORKS | VLDB JOURNAL | IEEE NETWORK | TELECOMMUNICATION SYSTEMS | MOBILE NETWORKS & APPLICATIONS,0,0,0,ENSEMBLE
88676,ACM COMPUTING SURVEYS,NEUROCOMPUTING,NEUROCOMPUTING | JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION | VISUAL COMPUTER | COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE | INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,0,0,0,ENSEMBLE
88677,ACM COMPUTING SURVEYS,IEEE TRANSACTIONS ON COMPUTERS,IEEE TRANSACTIONS ON COMPUTERS | DESIGN AUTOMATION FOR EMBEDDED SYSTEMS | INTEGRATION-THE VLSI JOURNAL | JOURNAL OF SYSTEMS ARCHITECTURE | MICROPROCESSORS AND MICROSYSTEMS,0,0,0,ENSEMBLE
88680,ACM COMPUTING SURVEYS,THEORETICAL COMPUTER SCIENCE,THEORETICAL COMPUTER SCIENCE | SIAM JOURNAL ON COMPUTING | JOURNAL OF THE ACM | SOFTWARE-PRACTICE & EXPERIENCE | VLDB JOURNAL,0,0,0,ENSEMBLE
